feature,benchmark,rho,p,n,q
geometry_spectral.avg_alpha,benchmark_arc_challenge_acc,0.28711527840957735,0.05303074496283224,46,0.09571722115513671
geometry_spectral.avg_alpha,benchmark_arc_easy_acc,0.3085083419606182,0.03697818502318733,46,0.0705771625377283
geometry_spectral.avg_alpha,benchmark_hellaswag_acc,0.3738744295053657,0.01048163050114571,46,0.021891633989535756
geometry_spectral.avg_alpha,benchmark_piqa_acc,0.2908956350781186,0.04984431300184659,46,0.08695988736121685
geometry_spectral.avg_alpha,benchmark_winogrande_acc,0.3147051590688213,0.03315944950740138,46,0.06059889397477602
geometry_spectral.avg_alpha,benchmark_mmlu_acc,0.3489684523816829,0.017456823565875065,46,0.03764288503437956
geometry_spectral.avg_alpha,benchmark_mmlu_humanities_acc,0.34754988143704196,0.017950989195227085,46,0.03864952086449634
geometry_spectral.avg_alpha,benchmark_mmlu_formal_logic_acc,0.36811257829783683,0.011835010192344349,46,0.030039557120151803
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_european_history_acc,0.39933365852222596,0.0059725892148535555,46,0.015818705492963582
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_us_history_acc,0.38505450978719763,0.008231022406428819,46,0.02029164015742398
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_world_history_acc,0.3571759128315532,0.01481809300547866,46,0.035168915542223705
geometry_spectral.avg_alpha,benchmark_mmlu_international_law_acc,0.3742593990147384,0.010396147907737486,46,0.024435961802431197
geometry_spectral.avg_alpha,benchmark_mmlu_jurisprudence_acc,0.37477254611655536,0.010283134880720902,46,0.02370640311388506
geometry_spectral.avg_alpha,benchmark_mmlu_logical_fallacies_acc,0.32296873644678314,0.028579541512555758,46,0.0589487010984297
geometry_spectral.avg_alpha,benchmark_mmlu_moral_disputes_acc,0.39880328855120134,0.006045656466531175,46,0.014585395633776532
geometry_spectral.avg_alpha,benchmark_mmlu_moral_scenarios_acc,0.32197955299108727,0.029098405134504048,46,0.06406907877506764
geometry_spectral.avg_alpha,benchmark_mmlu_philosophy_acc,0.4314270055343562,0.002757518920215574,46,0.007303428734339074
geometry_spectral.avg_alpha,benchmark_mmlu_prehistory_acc,0.37884023361913566,0.009424038053375466,46,0.02119683636005374
geometry_spectral.avg_alpha,benchmark_mmlu_professional_law_acc,0.29138010918853535,0.049447402664154844,46,0.09244514411124602
geometry_spectral.avg_alpha,benchmark_mmlu_world_religions_acc,0.4004318443937159,0.005823733570570457,46,0.013841554057296439
geometry_spectral.avg_alpha,benchmark_mmlu_other_acc,0.3959046475500217,0.006458881056423852,46,0.015480137876215855
geometry_spectral.avg_alpha,benchmark_mmlu_business_ethics_acc,0.3817458769511915,0.008848868950788622,46,0.021853118929143524
geometry_spectral.avg_alpha,benchmark_mmlu_clinical_knowledge_acc,0.3998889741754544,0.005896909481593958,46,0.014273645135911202
geometry_spectral.avg_alpha,benchmark_mmlu_college_medicine_acc,0.3572706691047414,0.014789730330597982,46,0.033891200224661834
geometry_spectral.avg_alpha,benchmark_mmlu_global_facts_acc,0.27199771729104966,0.06745117488168037,46,0.13326164550948202
geometry_spectral.avg_alpha,benchmark_mmlu_human_aging_acc,0.4174915967076019,0.0038924438656720386,46,0.00994886876156035
geometry_spectral.avg_alpha,benchmark_mmlu_management_acc,0.4174638101411656,0.0038950646935226704,46,0.010242058600593785
geometry_spectral.avg_alpha,benchmark_mmlu_marketing_acc,0.4117484166571644,0.004468153661873334,46,0.01205247353073582
